sku;family;categories;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;price
10727028;mp3_players;mp3_players,audio_video_sales,lenco;;;"- Mémoire interne 4 GB\n- Tag ID3\n- Formats audio et vidéo MP3, WMA et AMV\n- Formats photos: JPG, BMP and GIF\n- Fonction répéter\n- Fonction enregistrement de voix\n- Batterie rechargeable intégrée (Li-ion)\n- Temps de lecture en mode vidéo environ 3 heures\n- Temps de lecture en mode audio environ 8 heures";"XEMIO-655, 4GB, MP3, WMA, AMV, USB";"- 4,5 cm (1,8”) TFT screen\n- Built-in 4 GB flash memory\n- Supports: MP3 and WMA\n- Supports video in AMV format\n- Supports photos in JPG, BMP and GIF format\n- Multi language OSD\n- USB 2.0 connection\n- 3,5mm earphone jack\n- Supports Windows 98/ME/2000/XP/Vista\n- Repeat (A/B) function\n- ID3 tag\n- Micro SD card slot up to 8 GB (not included)\n- Voice recording\n- Built-in Li-Polymer Battery\n- When fully charged: playtime approx. 3,5 hours videoplay, 8 hours Musicplay.";"XEMIO-655, 4GB, MP3, WMA, AMV, USB";;;"Lenco XEMIO-655";2011-08-26;"440.06 EUR,98.12 USD"
11134785;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4014GBB, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc. Power multimedia to your fingertips!";"APPMP4014GBB, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";;;"Approx APPMP4014GBB MP3 player & recorder";2011-10-04;"757.58 EUR,256.5 USD"
11134786;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4014GBBL, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc. Power multimedia to your fingertips!";"APPMP4014GBBL, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";;;"Approx APPMP4014GBBL MP3 player & recorder";2011-10-04;"435.54 EUR,55.1 USD"
11134787;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4014GBW, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc. Power multimedia to your fingertips!";"APPMP4014GBW, 4GB, 4.572 cm (1.8 "") TFT, USB 2.0";;;"Approx APPMP4014GBW MP3 player & recorder";2011-10-04;"21.38 EUR,543.43 USD"
11134794;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4018GBB, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc.";"APPMP4018GBB, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";;;"Approx APPMP4018GBB MP3 player & recorder";2011-10-04;"448.32 EUR,970.32 USD"
11134795;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4018GBBL, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc.";"APPMP4018GBBL, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";;;"Approx APPMP4018GBBL MP3 player & recorder";2011-10-04;"336.87 EUR,729.71 USD"
11134796;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Lecteur MP4 en différentes couleurs. Compact et léger en plus d ́avoir des caractéristiques techniques complètes, malgré sa petite taille. Son clavier tactile et de haute qualité de l’écran TFT facilite l ́utilisation.\n\nAvec batterie rechargeable de 10 heures de fonctionnement qui vous permet de profiter de tous vos musiques, vidéos, images, documents, radio, etc.";"APPMP4018GBW, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";"MP4 Player in various colors. Compact and lightweight addition to having very complete technical features despite its small size. Its touch keypad and high-quality TFT screen makes handling fun.\n\nIt has a rechargeable battery about 10 hours of operation that lets you enjoy all your music, video, images, documents, radio, etc.";"APPMP4018GBW, 8GB, 4.572 cm (1.8 "") TFT, USB 2.0, FM";;;"Approx APPMP4018GBW MP3 player & recorder";2011-10-04;"96.13 EUR,719.86 USD"
11134805;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Le lecteur MP3 APPMP34GBx a été développé pour être simple, intuitif et facile à utiliser.\n\nPetit, design élégant et compact, vous pouvez profiter de votre musique en style.";"APPMP34GBB, 4GB, USB 2.0, 3.7 V, 90mAh";"The MP3 player APPMP34GBx has been developed to be simple, intuitive and easy to use.\n\nSmall, stylish and compact design so you can enjoy your music in style.";"APPMP34GBB, 4GB, USB 2.0, 3.7 V, 90mAh";;;"Approx APPMP34GBB MP3 player & recorder";2011-10-04;"717.1 EUR,933.07 USD"
11134806;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Le lecteur MP3 APPMP34GBx a été développé pour être simple, intuitif et facile à utiliser.\n\nPetit, design élégant et compact, vous pouvez profiter de votre musique en style.";"APPMP34GBP, 4GB, USB 2.0, 3.7 V, 90mAh";"The MP3 player APPMP34GBx has been developed to be simple, intuitive and easy to use.\n\nSmall, stylish and compact design so you can enjoy your music in style.";"APPMP34GBP, 4GB, USB 2.0, 3.7 V, 90mAh";;;"Approx APPMP34GBP MP3 player & recorder";2011-10-04;"540.22 EUR,316.41 USD"
11134807;mp3_players;mp3_players,audio_video_sales,approx;;3.7V;"Le lecteur MP3 APPMP34GBx a été développé pour être simple, intuitif et facile à utiliser.\n\nPetit, design élégant et compact, vous pouvez profiter de votre musique en style.";"APPMP34GBR, 4GB, USB 2.0, 3.7 V, 90mAh";"The MP3 player APPMP34GBx has been developed to be simple, intuitive and easy to use.\n\nSmall, stylish and compact design so you can enjoy your music in style.";"APPMP34GBR, 4GB, USB 2.0, 3.7 V, 90mAh";;;"Approx APPMP34GBR MP3 player & recorder";2011-10-04;"810.27 EUR,327.97 USD"
11264619;mp3_players;mp3_players,audio_video_sales,samsung;;;;;"<b>Clip on and tune in with style</b>\n- Chic and convenient, with a range of colours and useful clip\n- Navigation is easy thanks to intuitive control and a 4-line display\n- SoundAlive technology means rich and customisable audio\n- Study mode functions enhance your language learning\n\nNow there’s an MP3 player that lets you flaunt your style as well as offering great performance and convenience. The Samsung YP-F3 Sports Clipper is available in three striking colours and features a rear clip that you can attach to a bag strap or coat for hands-free listening. Operating the compact player couldn’t be simpler, with an attractive four-line colour display and sensitive tactile button to bring you straight to the right track, and with the SoundAlive engine you can fine-tune audio to your own preferences. Express your personality with this stylish personal music player.\n\n<b>3 Colour & Clip for portability</b>\nWith the clean edged lines and a small size, YP-F3 gives the impression of simplicity and elegance simultaneously. YP-F3 comes with three vivid colours (blue, pink, and black) for your own preferences. By using the rear clip, YP-F3 can conveniently be clipped onto the strap of your bag or easier to carry it around.\n\n<b>Easy Control & 4 Line Colour Display</b>\nThe control of YP-F3 is intuitive and simple with the sensitive 4 direction tactile button. The 4 line colour display screen will ease on your eyes and provide the abundant informational GUIs.\n\n<b>SoundAlive™</b>\nSoundAlive™ is the special acoustic field effect engine that enables you to listen to precisely tuned sound. With the improved range of digital sounds, and deeply richened low frequency sounds, you’ll be surprised with the amazing sound quality. You can fine tune the sound in detail with 6 different presets EQ and the user defined EQ settings (User EQ).\n\n<b>Study mode for language learner</b>\nUse Study mode to practice different languages. You can improve efficiency of your language learning with the functions of changing the speed of the recording, one touch repeat function of re-listen a phrase, skipping 10 seconds, etc.\n\n<b>Fitness Function</b>\nFitness Function gives you a choice of walking, running, yoga, or cycling modes. Highly portable YP-F3 supports your effective workout with the detailed settings, such as exercise types, daily goals, voice guidance, and body information settings.\n\n<b>Colour Popcon icon!</b>\nSelect your favorite popcon character and give it a name, or you can create your own popcon icon. Meet newly created Popcon characters daily and feel refreshment!";"4096MB, 2.54 cm (1 "") CSTN, 128 x 64, USB 2.0, Li-Polymer, Blue";;;"Samsung YP-F3AL MP3 player & recorder";2011-10-21;"696.72 EUR,833.75 USD"
11824875;mp3_players;mp3_players,audio_video_sales,sony;;;"WALKMAN® portable ultra-léger offrant un meilleur maintien, conçu spécialement pour faire du sport<br/>\n<br/>Portable et sans fil: Léger, fiable et confortable pour une liberté total de mouvement - fini les enchevêtrements de câbles.<br/>\nRésistant à l'eau* et lavable**: Parfait pour le sport, emportez votre WALKMAN® avec vous à la salle de gym ou pendant le jogging (même sous la pluie) et nettoyez-le après utilisation.<br/>\nDesign compact ultra- léger: La série W260 est 25 % plus légère et un tiers plus compacte, avec un excellent maintien pour les personnes sportives et actives.<br/>\nZAPPIN™: Recherchez aisément le morceau de votre choix, écoutez vos listes de lecture et retrouvez vos titres préférés.<br/>\nTransférez de la musique vers votre WALKMAN®: Glissez-déposez des fichiers avec l'explorateur Windows, synchronisez avec Windows Media® Player ou exportez vos morceaux iTunes® (à l'exception d'iTunes®-DRM).<br/>\nRecharge rapide: Branchez votre WALKMAN® pendant 3 minutes pour 60 minutes de lecture. Une charge complète (de 90 minutes) vous offre jusqu'à 8 heures d'autonomie.<br/>\nMémoire de 2 Go: Idéal pour les personnes actives, stockez environ 500 morceaux grâce à la mémoire intégrée.<br/>\nEcouteurs de 13,5 mm (série EX): Puissance et confort d'écoute maximal, grand choix de tailles d'oreillettes pour une utilisation durable.<br/>\nLecture de listes d'écoute: Classez vos morceaux favoris, transférez-les sur votre WALKMAN® et appréciez pleinement votre musique - votre WALKMAN® fonctionne tout seul pendant vos exercices.<br/>\nMolette multifonctions pour une commande aisée: La molette innovante permet de parcourir aisément les dossiers de musique.<br/>\nStockage intelligent: Fourni avec un chargeur (et un câble USB) ainsi qu'avec une pochette pour protéger le lecteur et évite les interférences magnétiques.<br/>\n";"4 Go, charge rapide, 8 h d'écoute, ZAPPIN™, écouteurs 13,5 mm de la série EX";"Sony NWZ-W263. Player media type: flash-media. Audio formats supported: AAC, MP3, PCM, WMA. Battery recharge time: 1.5. Cables included: USB";"Sony NWZ-W263, flash-media, AAC, MP3, PCM, WMA, 1.5, USB";"Leichterer, enger sitzender tragbarer WALKMAN® speziell für den Sport<br/>\n<br/>Tragbar, ohne Kabel: Leicht, sicher und bequem tragbar für absolute Freiheit unterwegs und ganz ohne störende Kabel.<br/>\nWasserabweisend* und waschbar**: Ideal beim Sport im Fitnessstudio oder beim Laufen (sogar im Regen); nach dem Training waschbar.<br/>\nKompaktes, leichteres Design: Die W260-Serie ist 25 % leichter und um ein Drittel kompakter – sitzt enger für den Einsatz bei sportlichen und anderen Aktivitäten.<br/>\nZAPPIN™: Suchen Sie einfach nach einem Song, geben Sie Playlisten wieder, und überspringen Sie Ordner bei der Suche nach Ihren Favoriten.<br/>\nMusikübertragung auf den WALKMAN®: Drag & Drop mit Windows Explorer, Synchronisieren mit Windows Media® Player und Exportieren von iTunes Musiktiteln (ausgenommen iTunes-DRM).<br/>\nSchnellladefunktion: WALKMAN® 3 Minuten lang einstecken für 60 Minuten Wiedergabe. Bei Komplettladung (90 Minuten) bis zu 8 Stunden Musikwiedergabe.<br/>\n2 GB Speicherplatz: Ideal für einen aktiven Lifestyle: der integrierte Speicher bietet Platz für ca. 500 Titel.<br/>\n13,5-mm-Kopfhörer der EX-Serie: Klarer und voller Sound, gepaart mit hervorragendem Tragekomfort dank einer Auswahl unterschiedlich großer Ohrhörer.<br/>\nWiedergabe von Playlisten: Sortieren Sie Ihre Lieblingsmusik nach Ihren Vorstellungen, und übertragen Sie sie zur Wiedergabe auf Ihren WALKMAN®. So müssen Sie während des Trainings nichts verändern.<br/>\nJog Lever für leichte Bedienung: Mithilfe des innovativen Jog Levers können Sie Ihre Musikordner ganz einfach durchsuchen..<br/>\nRaffinierte Speichermöglichkeiten: Ausgestattet mit einer Ladestation (und USB-Kabel) sowie einem Halter, der den Player schützt und magnetische Streuung verhindert.<br/>\n";"4 GB, Schnellladefunktion, 8 Std. Wiedergabe, ZAPPIN™, 13,5-mm-Kopfhörer der EX-Serie";"Sony NWZ-W263";2011-11-28;"625.81 EUR,367.48 USD"
