sku;family;categories;display_diagonal;response_time;display_srgb;display_color;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;price
11199855;pc_monitors;pc_monitors,tvs_projectors_sales,acer;"24 INCH";2;;;;;"À la fois fins et larges, les écrans de la série S d’Acer sont parfaits pour les activités multitâches et la navigation sur Internet. Les images haute définition prennent vie grâce à la résolution Full HD et au taux de contraste extrêmement élevé. Vous apprécierez non seulement la qualité des images mais également l’allure élancée et puissante de ces écrans Acer.\n\n<b>Un design compact et ultrafin</b>\nLes écrans de la série S sont conçus pour s’intégrer parfaitement dans votre cadre de vie, qu’il s’agisse de votre domicile ou de votre bureau, d’un lieu public ou d’un comptoir. Ultrafins et ultraélégants, ils profitent d’un design à la fois moderne et simple.\n\n<b>Des technologies respectueuses de l'environnement</b>\nLes écrans de la série S sont conçus avec des matériaux exempts de mercure. La technologie à LED blanche permet de diminuer la consommation d’électricité jusqu’à 68 %, ce qui allège considérablement les frais tout en contribuant à préserver les ressources énergétiques de la planète. Conformes aux exigences ENERGY STAR® 5.0, ils ont été conçus dans le souci du plus grand respect de l’environnement.\n\n<b>Des performances impressionnantes</b>\nGrâce à la résolution Full HD, les jeux sont plus passionnants et les divertissements aux détails précis sont dignes des salles de cinéma. En outre, l’interface HDMI® ou DVI vous permet de raccorder les appareils haute définition les plus récents, tandis que le taux de contraste exceptionnel offre une netteté impressionnante.";"S242HLCqbid - 24"" LED, 1920 x 1080, 2ms, 16:9, 60 Hz, 250 cd/m², DVI, HDMI, VGA, Noir";"Acer S Series monitors are very slim yet spacious displays that are great for multitasking and web browsing. High-def visuals leap to life thanks to Full HD resolution and an extremely high contrast ratio. You'll appreciate both the imagery and the look of this streamlined yet powerful Acer monitor!\n\n<b>Ultra-thin, space-saving design</b>\nThe S Series is designed to fit nicely in your living space, be it at home or in a SOHO, public area, or front-desk setting. Ultra-thin and ultra-elegant, the display is built around a sense of simple modernism.\n\n<b>Earth-friendly technologies</b>\nThe S Series uses mercury-free materials and white LED technology for up to 68% lower power consumption, giving you big savings while helping preserve nature's energy resources. By meeting ENERGY STAR® 5.0 requirements, the S Series considers the environment.\n\n<b>Impressive performance</b>\nGames are more exciting and entertainment is truly cinematic with excellent detail courtesy of Full HD resolution. In addition, an HDMI® or DVI interface connects you to the latest high-definition devices, while an astounding contrast ratio delivers fantastic clarity.";"S242HLCqbid - 24"" LED, 1920 x 1080, 2ms, 16:9, 60 Hz, 250 cd/m², DVI, HDMI, VGA, Black";;;"Acer S242HLCqbid";2011-10-14;"263.88 EUR,619.97 USD"
11200671;pc_monitors;pc_monitors,tvs_projectors_sales,lenovo;"14 INCH";8;;;;;;"35.56 cm (14 "") WLED 1366 X 768 16:9 8MS LT1421 400:1 USB IN";"<b>A second screen for mobile professionals</b>\n\nThis mobile monitor works great for ad hoc meetings in places like hotel lobbies or cafes that lack access to a projector and even for extra screen space for work that requires multitasking on the go.\n\nTrue mobility: USB 2.0 video input delivers both signal and power\nUltra Productivity: Connects up to six mobile monitors\nExtends the display for on-the-go multitasking\nShares presentations effectively with mirror mode\nPacks easily at under 2 LBS and 0.36 inches at its thinnest\nConnects quickly with plug-and-play technology\nConvenient ergonomic design: control brightness (up to 16 settings) and tilt angle for comfort\nTested durability and reliability for travel convenience";"LT1421, LCD 14"", 1366 x 768, 400:1, 200 cd/m2, USB 2.0";;;"Lenovo ThinkVision LT1421";2011-10-14;"788.65 EUR,846.69 USD"
11207358;pc_monitors;pc_monitors,tvs_projectors_sales,lenovo;"24 INCH";7;;;"6.67 KILOGRAM";;;;"<b>Designed for large enterprises</b>\n- Using a display has never been more comfortable, with exceptional on screen performance, with In-plane Switching (IPS) for wide viewing angles.\n- Engineered with collaboration in mind, the 24 inch widescreen has lift, tilt, swivel, and pivot capacity, allowing for high viewing comfort.\n- Additionally, the four USB ports allow you to connect portable devices directly to your screen, adding expansion options to your PC.\n- The LT2452p widescreen monitor is the right choice for those who need an ultimate display to increase productivity and ease of use.";"ThinkVision LT2452p - 24"" IPS (1920x1200), 16:10, 300 cd/m², 1000:1, 7ms, Black";;;"Lenovo ThinkVision LT2452p";2011-10-16;"806.02 EUR,351.58 USD"
11207645;pc_monitors;pc_monitors,tvs_projectors_sales,asus;"19 INCH";5;;;;;"<b>Des images plus réalistes grâce à la technologie LED</b>\n\n<b>ASUS Smart Contrast Ratio</b>\n\nLa technologie ASUS Smart Contrast Ratio (ASCR) porte le rapport de contraste des images à un impressionnant niveau de 10 000 000:1. Laissez-vous éblouir par la qualité des images, plus réalistes et précises, notamment lors de scènes nocturnes.\n\n<b>Excellentes performances visuelles</b>\n\n- Un écran 19 pouces à résolution 1440 x 900 et un temps de réponse de 5ms pour vous offrir des images parfaites, que ce soit pour votre travail ou vos divertissements.\n- Le compagnon idéal de votre ordinateur portable pour un double affichage et donc pour un meilleur travail multitâche.\n- Fonction Aspect Control permettant de choisir entre un affichage Full HD et un affichage 4:3 pour un rendu visuel sans distorsion de l´image ni pertes de données.\n\n<b>Technologie Splendid™ Video Intelligence</b>\nLa technologie Splendid™ Video Intelligence optimise les performances vidéo et la qualité de fidélité des images en améliorant les niveaux de couleur, de luminosité, de contraste et de netteté. Elle propose 5 modes prédéfinis (Paysage, Théâtre, Gaming, Nocturne et Standard) qui peuvent être lancés directement avec les touches de raccourcis.\n\n<b>Un design élégant, convivial et moderne</b>\n\n- Couleur noire brillante et nouveau design du support pour une allure innovante.\n- Haut-parleurs stéréo intégrés pour une excellente immersion audio.\n- Accès aux réglages OSD multilingue par des touches raccourcis.\n- Dispositif de gestion des câbles et des fils.\n- Support mural standard VESA (100 mm x 100 mm).\n- Angle d´inclinaison de 25° (5° vers l´avant, 20° vers l´arrière).\n- Câble de sécurité KENSINGTON.\n\n<b>Service après-vente complet</b>\n- Garantie système de 3 ans\n- Garantie de la dalle de 3 ans\n- Enlèvement sur site et retour gratuit (en fonction des pays)";"48.26 cm (19 "") , 1440x900, 250 Nit, 10000000:1, 5ms, 1W x 2, D-Sub, 3.5mm, 25W";"<b>True-to-life Pictures Powered by LED</b>\n\n<b>10,000,000:1 ASUS Smart Contrast Ratio</b>\n\nDynamically enhances the display’s contrast by adjusting the luminance of the backlight to achieve the darkest black and brightest white – delivering lifelike images.\n\n<b>Excellent Visual Performance</b>\n- Indulge your visual senses with 1440x900 resolution and 5ms quick response time for work and entertainment.\n- The best dual-display companion with your widescreen notebook enlarges the visual space for multi-tasking efficiency.\n- Aspect Control function allows users to select a preferred display mode among Full and 4:3 for true-to-life gaming or movie watching without any data loss or image distortion.\n\n<b>Splendid™ Video Intelligence Technology</b>\n\nThe exclusive Splendid Video Intelligence Technology optimizes video performance and image fidelity by enhancing color, brightness, contrast, and sharpness. 5 preset video modes (Scenery, Theater, Game, Night View, and Standard) can be selected via a hotkey.\n\n<b>Stylish and User-friendly Design for Modern Sophistication</b>\n\n- Glare black frame and smooth base design create a fresh new look of LCD monitors.\n- Built-in hidden stereo speakers enable audio enjoyment together with true-to-life visual.\n- Convenient key controls for functional set-up in the multi-language OSD.\n- Cable manager gets rid of tangling cables and wires.\n- VESA Wall Mount Standard (100 x 100 mm ).\n- 25° ( forward 5°, backwards 20° )Tilting Angle.\n- KENSINGTON Security Lock.\n\n<b>Complete After-Sale Service</b>\n- 3-year system warranty\n- 3-year panel warranty\n- Free pick-up service (in specific countries)";"48.26 cm (19 "") , 1440x900, 250 Nit, 10000000:1, 5ms, 1W x 2, D-Sub, 3.5mm, 25W";;;"ASUS VE198S";2011-10-16;"164.92 EUR,663 USD"
11208640;pc_monitors;pc_monitors,tvs_projectors_sales,dell;"22 INCH";2;;;;;;;"Enjoy full high-definition viewing on a 55cm (21.5'') monitor that’s incredibly slim, exceptionally sleek and environmentally conscious.\n\n- Ultra-slim panel: Add design flair to virtually any space with Dell’s slimmest LED monitor ever.\n- Full high-definition viewing: Enjoy an incredible multimedia experience with Full HD (1920x1080 max.) resolution.\n- Environmentally conscious design: Rest easy knowing your Dell S2230MX monitor is designed to be safe for your home and the environment with arsenic-free and mercury-free LED panels.";"S2230MX, 54.61 cm (21.5 "") , 2ms, VGA, DVI-D, HDCP";;;"DELL S2230MX";2011-10-16;"671.38 USD"
11209331;pc_monitors;pc_monitors,tvs_projectors_sales,lenovo;"19 INCH";5;;;;;;;"For enterprises that need a green, fully functional display screen, with unparalleled visual quality, the ThinkVision LT1952p is the best choice.Compatible with virtually any hardware platform, the LT1952p offers VGA, DVI-D, and DisplayPort connections. The LT1952p is a breeze to use with exceptional LED performance, swivel, tilt, and lift options, 5 milliseconds response time, and a 1000:1 contrast ratio. The LT1952p delivers high energy cost savings, through compliance with go green certifications. The monitors are mercury-free, contain reduced toxic chemicals.";"LED 19'', 1440x900px, 16:10, 250 cd/m2, 170/160, VGA, DVI-D, 5ms, Black";;;"Lenovo ThinkVision LT1952p";2011-10-17;"425.1 EUR,230.13 USD"
11227291;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"24 INCH";5;1;;;;"Utilisant 25 % de matériaux recyclés et ne contenant ni PVC ni BFR, cet écran LED Philips est la solution idéale pour combiner productivité et respect de l'environnement";"Productivité et développement durable avec un écran LED à faible consommation d'énergie";"<b>Sustainable productivity</b>\n\n<b>with energy efficient ergonomic LED display</b>\n\nThe Philips ergonomic LED display using 25% recycled materials and PVC, BFR free housing is ideal for eco-friendly productivity\n\n<b>Sustainable Eco-design</b>\n\n- 25% recycled material with EPEAT Gold\n- PVC-BFR free housing\n- 100% recyclable packaging\n- Zero mercury content\n- SmartPower: Up to 50% power saving\n- 0.1 watt Soft-Off mode\n\n<b>Great performance</b>\n\n- LED technology ensures natural colors\n- SmartContrast gives enhanced rich black details\n- TrueVision ensures lab quality images\n\n<b>Easy to experience</b>\n\n- Modern Touch controls\n- SmartImage presets for easy optimized image settings\n- SmartControl for easy performance tuning";"241S4LSS, TFT LCD, W-LED, 1920 x 1080 @ 60 Hz, 16:9, 250 cd/m2, 1xVGA, 1xDVI-D";"Der Philips LED-Monitor verwendet 25 % recycelte Materialien. Mit seinem ohne PVC und bromierte Flammschutzmittel hergestellten Gehäuse ist er somit umweltfreundlich und produktiv zugleich.";"Nachhaltig und produktiv mit energieeffizientem LED-Monitor";"Philips 241S4LSS";2011-10-18;"318.07 EUR,195.96 USD"
11227292;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"24 INCH";5;1;;"4.3 KILOGRAM";;"La base Super Ergo offre un confort ergonomique et un système intelligent de gestion des câbles. Le réglage de la hauteur, le support pivotant, l'angle d'inclinaison et de rotation de la base du moniteur augmentent le confort de l'utilisateur et réduisent les fatigues physiques résultant d'une longue journée de travail. En outre, le système intelligent de gestion des câbles libère de l'espace sur votre bureau.\n\nLe répartiteur USB vous permet de connecter plus aisément vos appareils multimédia plug and play tels qu'une clé USB, un appareil photo, un disque dur externe, une webcam, un PDA, une imprimante ou d'autres appareils équipés d'une connexion USB. Grâce au répartiteur USB 2.0 pratique d'accès situé sur le moniteur, les signaux USB 2.0 sont transmis vers l'ordinateur. Notez que certains appareils consomment davantage d'électricité et peuvent nécessiter une alimentation indépendante de celle fournie par le répartiteur USB.\n\nSmartImage est une technologie de pointe, exclusivité Philips, qui analyse le contenu affiché à l'écran pour un rendu optimal. Cette interface intuitive vous permet de sélectionner différents modes, notamment bureau, photo, film, jeu, économie, etc. en fonction de l'application que vous utilisez. Selon cette sélection, SmartImage optimise automatiquement le contraste, la saturation et la netteté des images et vidéo pour un rendu parfait. Le mode économie vous permet pour sa part de réaliser d'importantes économies. Et tout ça d'une simple pression sur un bouton !\n\nTrueVision est une technologie Philips utilisant des algorithmes avancés pour tester et aligner l'affichage, ce qui vous garantit des performances visuelles parfaites, conformes à des exigences 4 fois plus strictes que celles de la norme sRGB Windows. Seul Philips s'assure que chacun des moniteurs quittant ses usines est réglé selon ce procédé, pour une qualité d'image et de couleur constante.\n\nAccordée aux produits excédant les critères des actuels programmes d'éco-labels, la certification TCO Edge va plus loin que les exigences TCO standard en contraignant notamment les produits à utiliser un minimum de 65 % de plastiques issus d'un recyclage post-consommation, à être économes en énergie, à utiliser le moins possible de matières dangereuses, à présenter un emballage 100 % recyclable et à être conçus pour un recyclage facile. Vous avez la garantie que ce moniteur Philips met en œuvre des technologies de pointe et vous est bénéfique autant qu'à la planète. En choisissant ce produit, vous faites un achat informatique responsable d'un point de vue écologique !\n\nLe commutateur 0 watt situé à l'arrière de l'appareil vous permet de couper entièrement l'alimentation de votre moniteur. Ainsi, vous ne consommez plus d'énergie et réduisez un peu plus votre empreinte carbone\n\nLe moniteur Philips, grâce à sa base Super Ergo évoluée, peut être abaissé quasiment jusqu'au niveau du bureau pour vous offrir un angle de visualisation confortable. La faible différence de hauteur entre le châssis et la table ainsi obtenue est idéale si vous utilisez des lunettes à double ou triple foyer ou à verres progressifs pour travailler sur votre ordinateur. En outre, des utilisateurs de tailles très différentes peuvent utiliser le moniteur avec leurs réglages préférés d'angle et de hauteur, ce qui contribue à réduire la fatigue.\n\nDeux enceintes stéréo de haute qualité intégrées au moniteur. Selon le modèle et le design, elles sont visibles en façade, ou invisibles avec diffusion vers le sol, le haut ou l'arrière, etc.\n\nLe boîtier de ce moniteur Philips ne contient ni matériaux ignifuges bromés (BFR) ni polychlorure de vinyle (PVC)";"241B4LPCS - 24"" LCD, 1920x1080, 20000000:1, 250cd/m2, 5ms, DVI-D, VGA, 2x USB 2.0, 2x 1.5W, Argent";"PowerSensor is a built-in 'people sensor' that transmits and receives harmless infrared signals to determine if user is present and automatically reduces monitor brightness when user steps away from the desk, cutting energy costs by up to 80 percent and prolonging monitor life\n\nWhite LED's are solid state devices which light up to full, consistent brightness faster saving startup time. LED's are free from mercury content which allows for eco-friendly recycling and disposal process. LED's allow for better dimming control of LCD backlight, resulting in super high contrast ratio. It also gives superior color reproduction thanks to consistent brightness across the screen.\n\nThe SmartErgoBase is a monitor base that delivers ergonomic display comfort and provides cable management. The base's people-friendly height, swivel, tilt and rotation angle adjustments position the monitor for maximum comfort that can ease the physical strains of a long workday; cable management reduces cable clutter and keeps the workspace neat and professional.\n\nUSB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which has USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass thru to the computer. Note that many devices like cameras and HDD may need to be powered On independently, as they have higher power requirements than the monitor USB Hub can provide.\n\nSmartImage is an exclusive leading edge Philips technology that analyzes the content displayed on your screen and gives you optimized display performance. This user friendly interface allows you to select various modes like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimizes the contrast, color saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button!\n\nTrueVision is a proprietary Philips technology that uses advanced algorithm for testing and aligning monitor display which gives you the ultimate display performance that is 4 times more stringent than Windows sRGB requirements. Only Philips ensures each and every monitor that leaves the factory is fine tuned with this process so you can get consistent color and picture quality.\n\nTCO Edge certification is given to products which go beyond existing eco-labeling programs. Over and above standard TCO requirements, it further mandates that the product uses minimum 65% of post consumer recycled plastics, is energy efficient, uses minimal hazardous materials, has 100% recyclable packaging, and is designed for easy recycling amongst other requirements. You can rest assured that this Philips monitor is a cutting edge technology product which is best in class ICT, benefitting you and the planet while helping you make a responsible green IT purchase!\n\nAt the flick of the 0 watt hard switch which is conveniently located at the back, you can completely cut-off your monitor from AC power. This results in zero power consumption reducing your carbon footprint even further\n\nThe Philips monitor, thanks to its advanced SmartErgoBase, can be lowered down almost to desk level for a comfortable viewing angle. Low bezel-to-table height is the perfect solution if you use bifocals, trifocals or progressive lens glasses for your computing work. Additionally, it allows for users with greatly different heights to use the monitor in their preferred angle and height settings, helping them reduce fatigue and strain.\n\nA pair of high quality stereo speakers built into a display device. It can be visible front firing, or invisible down firing, top firing, rear firing, etc depending on model and design.\n\nThis Philips monitor housing is free from brominated flame retardant and polyvinyl chloride (PVC-BFR free)";"241B4LPCS - 24"" LCD, 1920x1080, 20000000:1, 250cd/m2, 5ms, DVI-D, VGA, 2x USB 2.0, 2x 1.5W, Silver";"PowerSensor ist ein integrierter Sensor, der durch das Aussenden und Empfangen unbedenklicher Infrarotsignale erkennt, ob sich der Benutzer in der Nähe des Geräts aufhält, und automatisch die Bildschirmhelligkeit reduziert, wenn der Benutzer sich vom Schreibtisch entfernt. So wird der Energieverbrauch um bis zu 80 % gesenkt und die Monitorlebensdauer verlängert.\n\nWeiße LEDs sind Halbleiter-Bauteile, die besonders schnell eine vollständige und dauerhafte Helligkeit erzeugen und so die Startzeit verkürzen. LEDs beinhalten kein Quecksilber, wodurch sie umweltschonend recycelt und entsorgt werden können. Außerdem ermöglichen LEDs eine bessere Steuerung des Dimmprozesses bei LCD-Hintergrundbeleuchtungen, was zu einem extrem hohen Kontrastverhältnis führt. Diese Technologie bietet zudem eine hervorragende Farbdarstellung dank der gleichmäßigen Helligkeit des Bildschirms.\n\nSmartErgoBase ist ein Monitorstandfuß, der ergonomischen Anzeigekomfort und Kabelmanagement ermöglicht. Seine vielen Einstellungsmöglichkeiten ermöglichen eine optimale Positionierung, die auch lange Arbeitstage erträglich macht. Das Kabelmanagement macht Schluss mit dem Kabelgewirr und schafft Ordnung am Arbeitsplatz.\n\nMit den USB-Anschlüssen können Sie ganz bequem Ihre Plug & Play Multimedia-Geräte anschließen, wie z. B. USB-Speichergeräte, Kameras, externe Festplatten, Webcams, PDAs, Drucker und viele andere Geräte mit USB-Anschluss. Die leicht zugänglichen USB 2.0-Anschlüsse am Monitor ermöglichen die Übertragung von USB 2.0-Signalen an den Computer. Beachten Sie, dass viele Geräte, wie z. B. Kameras und externe Festplatten, separat mit Strom versorgt werden müssen, da Sie über Stromanforderungen verfügen, die die USB-Anschlüsse des Monitors nicht erfüllen.\n\nSmartImage ist eine exklusive, marktführende Technologie von Philips, die angezeigte Bildinhalte analysiert und Ihnen so eine optimale Anzeigeleistung garantiert. Die benutzerfreundliche Oberfläche ermöglicht Ihnen die Auswahl zahlreicher Modi für Büro, Fotos, Filme, Spiele, Energieeinsparung etc. je nach Anwendung, die Sie gerade nutzen. Basierend auf Ihrer Auswahl optimiert SmartImage Kontrast, Farbsättigung und Schärfe von Bildern und Videos für die ultimative Anzeigeleistung. Der Energiesparmodus ermöglicht einen deutlich reduzierten Energieverbrauch. Und das alles in Echtzeit einfach per Knopfdruck!\n\nTrueVision ist eine von Philips entwickelte Technologie mit einem fortschrittlichen Algorithmus zum Testen und Ausrichten des Monitordisplays für eine optimale Displayleistung, die bis zu viermal strenger als die sRGB-Anforderungen von Windows ist. Nur Philips garantiert, dass jeder Monitor mit diesem Prozess eingestellt wurde, um Ihnen eine überragende Farb- und Bildqualität zu bieten.\n\nDie TCO Edge-Zertifizierung wird an Produkte vergeben, die über vorhandene Umweltzeichenprogramme hinaus gehen. Abgesehen von den standardmäßigen TCO-Anforderungen zeigt diese Zertifizierung, dass das Produkt zu mindestens 65 % aus wiederverwerteten Kunststoffen besteht, energieeffizient ist, minimale giftige Materialien enthält, über eine zu 100 % recycelbare Verpackung verfügt und neben anderen Anforderungen für ein einfaches Recycling entworfen wurde. Sie können sich darauf verlassen, dass dieser Philips Monitor ein hochmodernes Technologieprodukt mit führenden Informations- und Kommunikationsfunktionen ist, sodass Sie mit Ihrem umweltfreundlichen IT-Einkauf nicht nur sich, sondern auch dem Planeten etwas Gutes tun.\n\nMit dem Netzschalter auf der Rückseite können Sie den Monitor komplett vom Netz nehmen, sodass Sie keinen Strom verbrauchen. Damit verbessern Sie Ihre CO2-Bilanz noch weiter.\n\nDank SmartErgoBase kann der Philips Monitor fast bis auf Tischhöhe verstellt werden, um Ihnen einen bequemen Blickwinkel zu ermöglichen. Der geringe Abstand zwischen Rahmen und Tisch eignet sich optimal für Gleitsichtbrillenträger. Zudem kann der Monitor auf unterschiedliche Höhen eingestellt werden, sodass Sie mit Ihrem bevorzugten Winkel und in Ihrer bevorzugten Höhe arbeiten und so Ermüdungen und Belastungen vermeiden können.\n\nIm Display sind hochwertige Stereo-Lautsprecher integriert. Diese sind je nach Modell und Design sichtbar vorne, unsichtbar unten, oben oder hinten angebracht.\n\nDas Gehäuse dieses Philips Monitors enthält kein PVC und keine bromierten Flammschutzmittel.";"241B4LPCS - 24"" LCD, 1920x1080, 20000000:1, 250cd/m2, 5ms, DVI-D, VGA, 2x USB 2.0, 2x 1.5W, Silber";"Philips 241B4LPCS";2011-10-18;"851.07 EUR"
11227299;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"24 INCH";5;1;;;;"Utilisant 25 % de matériaux recyclés et ne contenant ni PVC ni BFR, cet écran LED Philips est la solution idéale pour combiner productivité et respect de l'environnement\n<b>Éco-conception et développement durable</b>\n- 25 % de matériaux recyclés avec EPEAT Or\n- Boîtier sans PVC ni BFR\n- Emballage 100 % recyclable\n- Sans mercure\n- SmartPower : jusqu'à 50 % d'économie d'énergie\n- Mode de veille de 0,1 watt\n<b>Performances exceptionnelles</b>\n- La technologie LED garantit des couleurs naturelles\n- SmartContrast offre des détails de noir extrêmement profonds\n- TrueVision assure des images de qualité laboratoire\n<b>Facile d'utilisation</b>\n- Touches tactiles\n- Préréglages SmartImage pour une qualité d'image facilement optimisée\n- Réglage facile des performances grâce à SmartControl";"60.96 cm (24 "") , W-Led, 1920 x 1080, 5ms, 250cd/m2, 1000:1/20M:1, 16:9, VGA, DVI-D, 4.1kg, Noir";"The Philips LED display using 25% recycled materials and PVC, BFR free housing is ideal for eco-friendly productivity\n<b>Sustainable Eco-design</b>\n- 25% recycled material with EPEAT Gold\n- PVC-BFR free housing\n- 100% recyclable packaging\n- Zero mercury content\n- SmartPower: Up to 50% power saving\n- 0.1 watt Soft-Off mode\n<b>Great performance</b>\n- LED technology ensures natural colors\n- SmartContrast gives enhanced rich black details\n- TrueVision ensures lab quality images\n<b>Easy to experience</b>\n- Modern Touch controls\n- SmartImage presets for easy optimized image settings\n- SmartControl for easy performance tuning";"60.96 cm (24 "") , W-Led, 1920 x 1080, 5ms, 250cd/m2, 1000:1/20M:1, 16:9, VGA, DVI-D, 4.1kg, Black";"Der Philips LED-Monitor verwendet 25 % recycelte Materialien. Mit seinem ohne PVC und bromierte Flammschutzmittel hergestellten Gehäuse ist er somit umweltfreundlich und produktiv zugleich.";"Nachhaltig und produktiv mit energieeffizientem LED-Monitor";"Philips 241S4LSB";2011-10-18;"928.43 EUR,870.83 USD"
11228257;pc_monitors;pc_monitors,tvs_projectors_sales,acer;"24 INCH";5;;1;;;;;"<b>B Series</b>\nThe Acer B Series is designed for professionals who require exceptional visuals and comfortable viewing over long periods of time. Its ergonomic style, high contrast ratio, full digital connectivity, and dependable functionality make the B Series an outstanding tool for productive computing.\n\n<b>Professional, ergonomic style</b>\nThe B Series comes in a stylish dark-gray bezel complemented by an elegant, sturdy black base, along with control buttons on the front panel to allow easy cleaning and intuitive use. To ensure comfort during prolonged use, you can adjust the height and tilt for the best viewing position. The spacious widescreen is great for multitasking with several open windows.\n\n<b>High-performance display</b>\nAcer-exclusive technologies, together with the excellent resolution, fast response time and high contrast ratio ensure reliable use and solid performance, while built-in speakers (optional) deliver impressive video and audio for high-impact presentations or cinematic entertainment after work.\n\n<b>Vital connections</b>\nConnect to the latest digital displays and appreciate media without loss of quality via the DVI port with High-bandwidth Digital Content Protection (HDCP) support. In addition, the built-in USB hub enables multiple displays and hassle-free connection to peripherals.\n\n<b>Energy-conserving functionality1</b>\nThe B Series uses mercury-free LED backlighting, which cuts power consumption by up to 68%, reduces operating costs, and conserves nature's resources for a greener tomorrow.";"B243HLDOwmdr, 60.96 cm (24 "") (61cm), 5ms, 250cd/m², TN+Film, 100000000:1, 16.7M, 170/160°, 1920 x 1080, Full HD, 7.6kg";"<b>B Series</b>\nDie speziell für den täglichen Gebrauch konzipierte Acer Business Serie umfasst zuverlässige Displays mit hoher Anzeigequalität für professionelle Benutzer, die besonderen Wert auf ausgereifte ergonomische Eigenschaften, Leistung und langfristige Produktivität legen.\n\n<b>Professioneller, ergonomischer Stil</b>\nDie Modelle der Acer Business Serie haben stilvolle, dunkelgraue Gehäuse, vervollkommnet mit einem robusten aber dennoch eleganten Standfuß in Schwarz und frontal positionierte Steuertasten für komfortable Nutzung. Ausgewählte Modelle sind in hellgrau erhältlich und es gibt Modelle mit umweltfreundlicher und stromsparender LED-Backlight Technologie. Für maximalen Komfort bei Dauernutzung können die Höhe und der Neigungswinkel für die optimale Betrachtungsposition reguliert werden. Auf dem großzügig bemessenen Widescreen können diverse Fenster gleichzeitig angezeigt werden, sodass er sich exzellent für Multitasking eignet.\n\n<b>Hochleistungsdisplay</b>\nDie exklusiv von Acer entwickelten Technologien in Kombination mit hoher Auflösung, kurzer Reaktionszeit und einem hohen Kontrastverhältnis garantieren zuverlässigen Betrieb und solide Leistung, während die integrierten Lautsprecher die Performance mit eindrucksvollem Sound abrunden, sei es für überzeugende Präsentationen im Büro oder Unterhaltung auf Kino-Level nach der Arbeit.\n\n<b>Wichtige Verbindungen</b>\nÜber den DVI-Port mit HDCP-Unterstützung (High-bandwidth Digital Content Protection) können die aktuellsten Digitalgeräte angeschlossen werden.";"B243HLDOwmdr, 60.96 cm (24 "") (61cm), 5ms, 250cd/m², TN+Film, 100000000:1, 16.7M, 170/160°, 1920 x 1080, Full HD, 7.6kg";"Acer V B243HLDOwmdr";2011-10-19;"636.78 EUR,56.4 USD"
1123988;pc_monitors;pc_monitors,tvs_projectors_sales,3m;"17 INCH";13;;;;"12V DC";;;"The 3M MicroTouch™ ChassisTouch 17"" LCD monitor combines a thin profile with multiple mounting options supporting space constrained enclosures designs. Back-mounted display controls are accessible even with the monitor sitting flush with the face of the enclosure, improving the aesthetics of your integration. The optional user installable bezel is available for applications requiring a more finished appearance.\n\nThe ChassisTouch 17"" LCD’s rugged metal enclosure provides mounting stability and protects the LCD from damage. Combined with 3M’s MicroTouch ClearTek II technology the ChassisTouch 17"" LCD is a winning combination for all public access environments concerned with durability.\n\n- Slim design is conducive to sleek kiosk design trends.\n- Robust metal enclosure provides mounting stability and protection for the LCD display.\n- VESA-mounting hole pattern on the back allows for arm mount capability or bracket-mounting within the enclosure.\n- Optional bezel available.\n- Bright 300 nit chassis solution.\n- High-contrast 17"" TFT LCD panel delivers crisp, vibrant images.\n\n";"MicroTouch™ ChassisTouch 17"" LCD Enclosure Monitor";;;"3M MicroTouch™ Chassis";2007-08-09;"810.75 EUR"
112612;pc_monitors;pc_monitors,tvs_projectors_sales,iiyama;"17 INCH";16;;;;"AC 90 - 132 / 198 - 264 V, 50 / 60 Hz";;;"iiyama E431S-B 17 INCH TFT VGA/DVI 16SM ZWART. Display resolution: 1280 x 1024, Display: LCD, Contrast ratio (typical): 450:1. Width: 368.5, Depth: 188.5. Certification: TCO 99, TÜV ERGO (ISO 13406-2), MPR III. Power requirements: AC 90 - 132 / 198 - 264 V, 50 / 60 Hz, Security features: Kensington-lock";"iiyama E431S-B 17 INCH TFT VGA/DVI 16SM ZWART, 1280 x 1024, LCD, 450:1, 368.5, 188.5, TCO 99, TÜV ERGO (ISO 13406-2), MPR III";;;"iiyama E431S-B 17 INCH TFT VGA/DVI 16SM ZWART";2005-07-15;"162.32 EUR"
